
 hhqi                  'Household questionnaire number'                                                  
 w1_a_d9               'd9 - Mother's level of Higher Education'                                         
 w1_a_d10m_code        'd10_t - Occupational codes of Mother'                                            
 w1_a_d1_f             'd1_f - Biological father is alive'                                               
 w1_a_d2_f             'd2_f - Biological father's age at death'                                         
 w1_a_d3_f             'd3_f - Biological father’s Year of death'                                        
 w1_a_d4_f             'd4_f - Death of father before respondent was 15 years'                           
 w1_a_d5_f             'd5_f - Death of father before respondent was 5 years'                            
 w1_a_d6_f             'd6_f - father is resident'                                                       
 w1_a_d7_f             'd7_f - father's year of birth'                                                   
 w1_a_d8_f             'd8_f - father's Highest school grade'                                            
 w1_a_d9_f             'd9_f - father's level of Higher Education'                                       
 w1_a_d10f_code        'd10_t - Occupational codes of Father'                                            
 w1_a_e1               'e1 - Employment status'                                                          
 w1_a_e2_m             'e2_m - Primary Occupation Start Month'                                           
 w1_a_e2_y             'e2_y - Primary Occupation Start Year'                                            
 w1_a_e3               'e3 - Methods taken to find current job'                                          
 w1_a_e4_code          'e4_2 - Occupational code for Primary Occupation'                                 
 w1_a_e7_code          'e7_2 - Industry code for Primary Occupation'                                     
 w1_a_e8               'e8 - Gross Income for Primary Occupation'                                        
 w1_a_e9               'e9 - Net Income for Primary Occupation'                                          
 w1_a_e10              'e10 - Net Income for Primary Occupation: Show card'                              
 w1_a_e11              'e11 - Average work week (Hours) at Primary Occupation'                           
 w1_a_e12_1            'e12_1 - Received 13th Cheque/ Annual bonus'                                      
 w1_a_e12_1a           'e12_1a - 13th Cheque/Annual bonus amount in last 12 months'                      
 w1_a_e12_2            'e12_2 - Received Share of Profit in last 12 Months'                              
 w1_a_e12_2a           'e12_2a - Share of Profit amount in last 12 months'                               
 w1_a_e12_3            'e12_3 - Received other bonus in last 12 Months'                                  
 w1_a_e12_3a           'e12_3a - Other bonus amount in last 12 months'                                   
 w1_a_e12_4            'e12_4 - Received extra income on piece rate basis in the last Month'             
 w1_a_e12_4a           'e12_4a - Extra income Amount on piece rate basis in the last Month '             
 w1_a_e12_5            'e12_5 - Medical Aid deduction from Salary'                                       
 w1_a_e12_6            'e12_6 - Pension/Provident Fund deduction from Salary'                            
 w1_a_e12_7            'e12_7 - UIF deduction from Salary'                                               
 w1_a_e13_1            'e13_1 - Employment Agreement'                                                    
 w1_a_e13_2            'e13_2 - Duration of employment agreement'                                        
 w1_a_e14              'e14  - Trade Union Membership'                                                   
 w1_a_e15              'e15 - Amount spent on Transport to work'                                         
 w1_a_e16              'e16  - Wanted  a job whilst unemployed'                                          
 w1_a_e17_y            'e17_y  - Length of Unemployment in years before current job'                     
 w1_a_e17_m            'e17_m  - Length of Unemployment in months before current job'                    
 w1_a_e18              'e18  - Existence of  Secondary Occupation'                                       
 w1_a_e19_m            'e19_m - Second Occupation Start Month'                                           
 w1_a_e19_y            'e19_y - Second Occupation Start Year'                                            
 w1_a_e20_code         'e20_2  - Occupational Codes for Secondary Occupation'                            
 w1_a_e23_code         'e23 - Industry code for Secondary Occupation'                                    
 w1_a_e24              'e24  - Gross Income in Secondary Occupation'                                     
 w1_a_e25              'e25  - Net Income in Secondary Occupation'                                       
 w1_a_e26              'e26  - Net Income in Secondary Occupation: Showcard'                             
 w1_a_e27              'e27  - Average work week (Hours) at Secondary Occupation'                        
 w1_a_e28              'e28  - Existence of  Self-employment activities'                                 
 w1_a_e29_code         'e29_2  - Occupational code for Self-employment activity'                         
 w1_a_e30              'e30  - Existence of  other Self-employment activities'                           
 w1_a_e32              'e32  - No of months this year,  engaged in Self-employment activities'           
 w1_a_e33              'e33  - Net Profit from Self-employment activities, last month'                   
 w1_a_e34              'e34  - Net Profit from Self-employment activities, last month: Showcard'         
 w1_a_e35              'e35  - Net Profit from Self-employment activities, last 12 months'               
 w1_a_e36              'e36  - Average work week (Hours) at Self-employment activities'                  
 w1_a_e37              'e37  - Registration of business for Income tax &/or VAT '                        
 w1_a_e38              'e38  - Ownership of Equipment  for self-employment activities'                   
 w1_a_e39              'e39  - Cost of replacing  equipment for self-employment activities'              
 w1_a_e40              'e40  - Paid Casual employment in the last 30 days'                               
 w1_a_e41_code         'e41_2  - Occupational codes for  paid casual employment in the last 30 days'     
 w1_a_e42              'e42  - Income from paid casual employment in last 30 days'                       
 w1_a_e43              'e43  - Income from paid casual employment in last 30 days: Show card'            
 w1_a_e44              'e44  - Average work week (Hours) at Casual employment in last 30 days'           
 w1_a_e45              'e45  - Did personal agriculture in last 30 days'                                 
 w1_a_e46              'e46  - Average work week (Hours) when doing personal agricultural work'          
 w1_a_e47              'e47  - Received Income from doing personal agricultural work'                    
 w1_a_e48              'e48  - Received Income from providing agricultural labour to others'             
 w1_a_e50              'e50  - Income earned from agriculture related activities in last 30 days'        
 w1_a_e51              'e51  - Income earned from agriculture related activities in last 12 months'      
 w1_a_e52              'e52  - Assistance of others with business activities in the last 30 days'        
 w1_a_e53              'e53  - Average hours (week) spent assisting others with business activities'     
 w1_a_e54              'e54  - Relationship of person who is assisted with business activities'          
 w1_a_e55              'e55  - Received income for assisting others with business activities'            
 w1_a_e56              'e56  - Amt earned from assisting others with business activities, last 30 days'  
 w1_a_e57_code         'e57_2  - Occupational code for assisting others with business activities'        
 w1_a_e62              'e62  - Any record of work related activities'                                    
 w1_a_e63              'e63  - Time period since last work related activity'                             
 w1_a_e64_code         'e64_2  - Occupational Code for last work related activity'                       
 w1_a_e65              'e65  - Reason behind cessation of last work related activity'                    
 w1_a_e66              'e66  - Had a desire to work in last 4 weeks'                                     
 w1_a_e67_y            'e67_y  - No. of years wanting to work with no success'                           
 w1_a_e67_m            'e67_m  - No. of Months wanting to work with no success'                          
 w1_a_e68              'e68  - Turned down jobs while waiting for and wanting work'                      
 w1_a_e69              'e69  - Reason for not accepting job while waiting for and wanting work'          
 w1_a_e70_1            'e70_1  - Realistic possibility of employment in next month'                      
 w1_a_e70_2            'e70_2  - Realistic possibility of employment in next 6 mnth'                     
 w1_a_e70_3            'e70_3  - Realistic possibility of employment in next year'                       
 w1_a_e70_4            'e70_4  - Realistic possibility of employment in next 2 yrs'                      
 w1_a_e71_1a           'e71_1  - Respondent has done ... to search for work or to start a business? - 1' 
 w1_a_e71_2a           'e71_2  - Respondent has done ... to search for work or to start a business? - 2' 
 w1_a_e71_3a           'e71_3  - Respondent has done ... to search for work or to start a business? - 3' 
 w1_a_e71_4a           'e71_4  - Respondent has done ... to search for work or to start a business? - 4' 
 w1_a_e71_5a           'e71_5  - Respondent has done ... to search for work or to start a business? - 5' 
 w1_a_e71_6a           'e71_6  - Respondent has done ... to search for work or to start a business? - 6' 
 w1_a_e71_7a           'e71_7  - Respondent has done ... to search for work or to start a business? - 7' 
 w1_a_e71_8a           'e71_8  - Respondent has done ... to search for work or to start a business? - 8' 
 w1_a_e71_9a           'e71_9  - Respondent has done ... to search for work or to start a business? - 9' 
 w1_a_e71_10a          'e71_10 - Respondent has done ... to search for work or to start a business? - 10'
 w1_a_e72              'e72  - Amt. spent on transport during job search in past week'                   
 w1_a_e73              'e73  - Source of money used for transport during job search'                     
 w1_a_e74              'e74  - Willing to work if suitable employment became available in last mnth'     
 w1_a_e75              'e75  - Perceived reasonable monthly net income'                                  
 w1_a_e76              'e76  - Main reason for unavailability for employment in last 4 weeks'            
 w1_a_e77              'e77  - Respondent has ever looked for employment'                                
 w1_a_e78              'e78  - Year in which respondent last looked for employment'                      
 w1_a_e79              'e79  - Main reason behind cessation in job search'                               
 w1_a_f1_1             'f1_1  - Recipient of State (RSA) pension'                                        
 w1_a_f1_1a            'f1_1a  - Amount received from State (RSA) Pension'                               
 w1_a_f1_2             'f1_2  - Recipient of Private/Foreign Pension'                                    
 w1_a_f1_2a            'f1_2a  - Amount received from Private/Foreign Pension'                           
 w1_a_f1_3             'f1_3  - Recipient of Private retirement annuity'                                 
 w1_a_f1_3a            'f1_3a  - Amount received from Private retirement annuity'                        
 w1_a_f1_4             'f1_4  - Recipient of Retirement gratuity/package'                                
 w1_a_f1_4a            'f1_4a  - Amount received from Retirement gratuity/package'                       
 w1_a_f1_5             'f1_5  - Recipient of (Unemployment Insurance) UIF'                               
 w1_a_f1_5a            'f1_5a  - Amount received from (Unemployment Insurance) UIF'                      
 w1_a_f1_6             'f1_6  - Recipient of  Workmen’s compensation'                                    
 w1_a_f1_6a            'f1_6a  - Amount received from Workmen’s compensation'                            
 w1_a_f1_7             'f1_7  - Recipient of Disability Grant'                                           
 w1_a_f1_7a            'f1_7a  - Amount received from  Disability Grant'                                 
 w1_a_f1_8             'f1_8  - Recipient of Child Support Grant'                                        
 w1_a_f1_8a            'f1_8a  - Amount received from Child Support Grant'                               
 w1_a_f1_9             'f1_9  - Recipient of Foster Care Grant'                                          
 w1_a_f1_9a            'f1_9a  - Amount received from Foster Care Grant'                                 
 w1_a_f1_10            'f1_10  - Recipient of Care Dependency Grant'                                     
 w1_a_f1_10a           'f1_10a - Amount received from Care Dependency Grant'                             
 w1_a_f1_11            'f1_11  - Recipient of Interest earnings'                                         
 w1_a_f1_11a           'f1_11a - Amount received from interest earnings'                                 
 w1_a_f1_12            'f1_12  - Recipient of Inheritance '                                              
 w1_a_f1_12a           'f1_12a - Amount received from Inheritance'                                       
 w1_a_f1_13            'f1_13 - Recipient of War Veterans Pension'                                       
 w1_a_f1_13a           'f1_13a - Amount received from War Veterans Pension'                              
 w1_a_f1_14            'f1_14 - Recipient of Rental Income'                                              
 w1_a_f1_14a           'f1_14a - Amount received from Rental Income'                                     
 w1_a_f1_15            'f1_15 - Recipient of Retrenchment package'                                       
 w1_a_f1_15a           'f1_15a - Amount received from Retrenchment package'                              
 w1_a_f1_16            'f1_16 - Recipient of Lobola/Bride wealth'                                        
 w1_a_f1_16a           'f1_16a - Amount received from Lobola/Bride Wealth'                               
 w1_a_f1_17            'f1_17 - Recipient of Gifts'                                                      
 w1_a_f1_17a           'f1_17a - Amount received from Gifts'                                             
 w1_a_f1_18            'f1_18 - Recipient of loan repayment'                                             
 w1_a_f1_18a           'f1_18a - Amount received from loan repayment'                                    
 w1_a_f1_19            'f1_19  - Recipient of income from Sale of household goods'                       
 w1_a_f1_19a           'f1_19a - Amount received from Sale of household goods'                           
 w1_a_f1_20            'f1_20  - Recipient of other income'                                              
 w1_a_f1_20a           'f1_20a - Amount received from other income'                                      
 w1_a_f1_20o           'f1_20o - Other Specify'                                                          
 w1_a_f2_1             'f2_1 - Recived contributions (incl. maintenance) from Non-Res in past 12 months' 
 w1_a_f2_3_1           'f2_3_1 - Pcode of non-resident remitter: 1'                                      
 w1_a_f2_4_1           'f2_4_1 - Location of non-resident  remitter: 1'                                  
 w1_a_f2_5_1           'f2_5_1 - Relationship code of remitter 1'                                        
 w1_a_f2_6_1           'f2_6_1 - No. of times remittance in money was received in past 12 months: 1'     
 w1_a_f2_7_2           'f2_7_2 - Total amount of remittance in money received in past 12 months:2'       
 w1_a_f2_8_1           'f2_8_1 - Total amount of remittance in money received in past 30 days:1'         
 w1_a_f2_9_1           'f2_9_1 - No. of times remittance in kind was received in past 12 months:1'       
 w1_a_f2_10_1          'f2_10_1 - Total amount of remittance in kind received in past 12 months: 1'      
 w1_a_f2_11_1          'f2_11_1 - Total amount of remittance in kind received in past 30 days:1'         
 w1_a_f2_12_1          'f2_12_1 - Type of in kind Items received:1'                                      
 w1_a_f2_12o_1         'f2_12o_1 - Other items received  : 1'                                            
 w1_a_f2_3_2           'f2_3_2 - Pcode of non-resident remitter: 2'                                      
 w1_a_f2_4_2           'f2_4_2 - Location of non-resident  remitter: 2'                                  
 w1_a_f2_5_2           'f2_5_2 - Relationship code of remitter 2'                                        
 w1_a_f2_6_2           'f2_6_2 - No. of times remittance in money was received in past 12 months: 2'     
 w1_a_f2_7_3           'f2_7_3 - Total amount of remittance in money received in past 12 months:3'       
 w1_a_f2_8_2           'f2_8_2 - Total amount of remittance in money received in past 30 days:2'         
 w1_a_f2_9_2           'f2_9_2 - No. of times remittance in kind was received in past 12 months:2'       
 w1_a_f2_10_2          'f2_10_2 - Total amount of remittance in kind received in past 12 months: 2'      
 w1_a_f2_11_2          'f2_11_2 - Total amount of remittance in kind received in past 30 days:2'         
 w1_a_f2_12_2          'f2_12_2 - Type of in kind Items received:2'                                      
 w1_a_f2_12o_2         'f2_12o_2 - Other items received : 2'                                             
 w1_a_f2_3_3           'f2_3_3 - Pcode of non-resident remitter: 3'                                      
 w1_a_f2_4_3           'f2_4_3 - Location of non-resident  remitter: 3'                                  
 w1_a_f2_5_3           'f2_5_3 - Relationship code of remitter 3'                                        
 w1_a_f2_6_3           'f2_6_3 - No. of times remittance in money was received in past 12 months: 3'     
 w1_a_f2_7_4           'f2_7_4 - Total amount of remittance in money received in past 12 months:4'       
 w1_a_f2_8_3           'f2_8_3 - Total amount of remittance in money received in past 30 days:3'         
 w1_a_f2_9_3           'f2_9_3 - No. of times remittance in kind was received in past 12 months:3'       
 w1_a_f2_10_3          'f2_10_3 - Total amount of remittance in kind received in past 12 months: 3'      
 w1_a_f2_11_3          'f2_11_3 - Total amount of remittance in kind received in past 30 days:3'         
 w1_a_f2_12_3          'f2_12_3 - Type of in kind Items received:3'                                      
 w1_a_f2_12o_3         'f2_12o_3 - Other items received  : 3'                                            
 w1_a_f2_3_4           'f2_3_4 - Pcode of non-resident remitter: 4'                                      
 w1_a_f2_4_4           'f2_4_4 - Location of non-resident  remitter: 4'                                  
 w1_a_f2_5_4           'f2_5_4 - Relationship code of remitter 4'                                        
 w1_a_f2_6_4           'f2_6_4 - No. of times remittance in money was received in past 12 months: 4'     
 w1_a_f2_7_5           'f2_7_5 - Total amount of remittance in money received in past 12 months:5'       
 w1_a_f2_8_4           'f2_8_4 - Total amount of remittance in money received in past 30 days:4'         
 w1_a_f2_9_4           'f2_9_4 - No. of times remittance in kind was received in past 12 months:4'       
 w1_a_f2_10_4          'f2_10_4 - Total amount of remittance in kind received in past 12 months: 4'      
 w1_a_f2_11_4          'f2_11_4 - Total amount of remittance in kind received in past 30 days:4'         
 w1_a_f2_12_4          'f2_12_4 - Type of in kind Items received:4'                                      
 w1_a_f2_12o_4         'f2_12o_4 - Other items received : 4'                                             
 w1_a_f2_3_5           'f2_3_5 - Pcode of non-resident remitter: 5'                                      
 w1_a_f2_4_5           'f2_4_5 - Location of non-resident  remitter: 5'                                  
 w1_a_f2_5_5           'f2_5_5 - Relationship code of remitter 5'                                        
 w1_a_f2_6_5           'f2_6_5 - No. of times remittance in money was received in past 12 months: 5'     
 w1_a_f2_7_6           'f2_7_6 - Total amount of remittance in money received in past 12 months:6'       
 w1_a_f2_8_5           'f2_8_5 - Total amount of remittance in money received in past 30 days:5'         
 w1_a_f2_9_5           'f2_9_5 - No. of times remittance in kind was received in past 12 months:5'       
 w1_a_f2_10_5          'f2_10_5 - Total amount of remittance in kind received in past 12 months: 5'      
 w1_a_f2_11_5          'f2_11_5 - Total amount of remittance in kind received in past 30 days:5'         
 w1_a_f2_12_5          'f2_12_5 - Type of in kind Items received:5'                                      
 w1_a_f2_12o_5         'f2_12o_5 - Other items received : 5'                                             
 w1_a_f2_3_6           'f2_3_6 - Pcode of non-resident remitter: 6'                                      
 w1_a_f2_4_6           'f2_4_6 - Location of non-resident  remitter: 6'                                  
 w1_a_f2_5_6           'f2_5_6 - Relationship code of remitter 6'                                        
 w1_a_f2_6_6           'f2_6_6 - No. of times remittance in money was received in past 12 months: 6'     
 w1_a_f2_7_7           'f2_7_7 - Total amount of remittance in money received in past 12 months:7'       
 w1_a_f2_8_6           'f2_8_6 - Total amount of remittance in money received in past 30 days:6'         
 w1_a_f2_9_6           'f2_9_6 - No. of times remittance in kind was received in past 12 months:6'       
 w1_a_f2_10_6          'f2_10_6 - Total amount of remittance in kind received in past 12 months: 6'      
 w1_a_f2_11_6          'f2_11_6 - Total amount of remittance in kind received in past 30 days:6'         
 w1_a_f2_12_6          'f2_12_6 - Type of in kind Items received:6'                                      
 w1_a_f2_12o_6         'f2_12o_6 - Other items received : 6'                                             
 w1_a_f2_3_7           'f2_3_7 - Pcode of non-resident remitter: 7'                                      
 w1_a_f2_4_7           'f2_4_7 - Location of non-resident  remitter: 7'                                  
 w1_a_f2_5_7           'f2_5_7 - Relationship code of remitter 7'                                        
 w1_a_f2_6_7           'f2_6_7 - No. of times remittance in money was received in past 12 months: 7'     
 w1_a_f2_7_8           'f2_7_8 - Total amount of remittance in money received in past 12 months:8'       
 w1_a_f2_8_7           'f2_8_7 - Total amount of remittance in money received in past 30 days:7'         
 w1_a_f2_9_7           'f2_9_7 - No. of times remittance in kind was received in past 12 months:7'       
 w1_a_f2_10_7          'f2_10_7 - Total amount of remittance in kind received in past 12 months: 7'      
 w1_a_f2_11_7          'f2_11_7 - Total amount of remittance in kind received in past 30 days:7'         
 w1_a_f2_12_7          'f2_12_7 - Type of in kind Items received:7'                                      
 w1_a_f2_12o_7         'f2_12o_7 - Other items received : 7'                                             
 w1_a_f2_3_8           'f2_3_8 - Pcode of non-resident remitter: 8'                                      
 w1_a_f2_4_8           'f2_4_8 - Location of non-resident  remitter: 8'                                  
 w1_a_f2_5_8           'f2_5_8 - Relationship code of remitter 8'                                        
 w1_a_f2_6_8           'f2_6_8 - No. of times remittance in money was received in past 12 months: 8'     
 w1_a_F2_7             'F2_7.In the past 12 months,how much money in total did ... send to you? code 08' 
 w1_a_f2_8_8           'f2_8_8 - Total amount of remittance in money received in past 30 days:8'         
 w1_a_f2_9_8           'f2_9_8 - No. of times remittance in kind was received in past 12 months:8'       
 w1_a_f2_10_8          'f2_10_8 - Total amount of remittance in kind received in past 12 months: 8'      
 w1_a_f2_11_8          'f2_11_8 - Total amount of remittance in kind received in past 30 days:8'         
 w1_a_f2_12_8          'f2_12_8 - Type of in kind Items received:8'                                      
 w1_a_f2_12o_8         'f2_12o_8 - Other items received : 8'                                             
 w1_a_f3_1             'f3_1 - Sent contributions to non-residents'                                      
 w1_a_f3_1_A           'F3.Contributor s Person code: code 01'                                           
 w1_a_f3_2             'F3.Contributor s Person code: code 02'                                           
 w1_a_f3_3             'F3.Contributor s Person code: code 03'                                           
 w1_a_f3_4             'F3.Contributor s Person code: code 04'                                           
 w1_a_f3_5             'F3.Contributor s Person code: code 05'                                           
 w1_a_f3_6             'F3.Contributor s Person code: code 06'                                           
 w1_a_f3_7             'F3.Contributor s Person code: code 07'                                           
 w1_a_f3_8             'F3.Contributor s Person code: code 08'                                           
 w1_a_f3_9             'F3.Contributor s Person code: code 09'                                           
 w1_a_f3_10            'F3.Contributor s Person code: code 10'                                           
 w1_a_f3_3_1           'f3_3_1 - Pcode of non-resident remittance recipient:1'                           
 w1_a_f3_4_1           'f3_4_1 - Location of  remittance recipient:1'                                    
 w1_a_f3_5_1           'f3_5_1 - Relationship code of remittance recipient: 1'                           
 w1_a_f3_6_1           'f3_6_1 - No. of times remittance in money was sent in past 12 months:1'          
 w1_a_f3_7_1           'f3_7_1 - Total amount of remittance in money sent in past 12 months:1'           
 w1_a_f3_8_1           'f3_8_1 - Total amount of remittance in money sent in past 30 days:1'             
 w1_a_f3_9_1           'f3_9_1 - No. of times remittance in kind was sent in past 12 months:1'           
 w1_a_f3_10_1          'f3_10_1 - Total amount of remittance in kind sent in past 12 months:1'           
 w1_a_f3_11_1          'f3_11_1 - Total amount of remittance in kind sent in past 30 days:1'             
 w1_a_f3_12_1          'f3_12_1 - Type of in kind Items sent '                                           
 w1_a_f3_12o_1         'f3_12o_1 - Other items given : 1'                                                
 w1_a_f3_3_2           'f3_3_2 - Pcode of non-resident remittance recipient:2'                           
 w1_a_f3_4_2           'f3_4_2 - Location of  remittance recipient:2'                                    
 w1_a_f3_5_2           'f3_5_2 - Relationship code of remittance recipient: 2'                           
 w1_a_f3_6_2           'f3_6_2 - No. of times remittance in money was sent in past 12 months:2'          
 w1_a_f3_7_2           'f3_7_2 - Total amount of remittance in money sent in past 12 months:2'           
 w1_a_f3_8_2           'f3_8_2 - Total amount of remittance in money sent in past 30 days:2'             
 w1_a_f3_9_2           'f3_9_2 - No. of times remittance in kind was sent in past 12 months:2'           
 w1_a_f3_10_2          'f3_10_2 - Total amount of remittance in kind sent in past 12 months:2'           
 w1_a_f3_11_2          'f3_11_2 - Total amount of remittance in kind sent in past 30 days:2'             
 w1_a_f3_12_2          'f3_12_2 - Type of in kind Items sent '                                           
 w1_a_f3_12o_2         'f3_12o_2 - Other items given : 2'                                                
 w1_a_f3_3_3           'f3_3_3 - Pcode of non-resident remittance recipient:3'                           
 w1_a_f3_4_3           'f3_4_3 - Location of  remittance recipient:3'                                    
 w1_a_f3_5_3           'f3_5_3 - Relationship code of remittance recipient: 3'                           
 w1_a_f3_6_3           'f3_6_3 - No. of times remittance in money was sent in past 12 months:3'          
 w1_a_f3_7_3           'f3_7_3 - Total amount of remittance in money sent in past 12 months:3'           
 w1_a_f3_8_3           'f3_8_3 - Total amount of remittance in money sent in past 30 days:3'             
 w1_a_f3_9_3           'f3_9_3 - No. of times remittance in kind was sent in past 12 months:3'           
 w1_a_f3_10_3          'f3_10_3 - Total amount of remittance in kind sent in past 12 months:3'           
 w1_a_f3_11_3          'f3_11_3 - Total amount of remittance in kind sent in past 30 days:3'             
 w1_a_f3_12_3          'f3_12_3 - Type of in kind Items sent '                                           
 w1_a_f3_12o_3         'f3_12o_3 - Other items given : 3'                                                
 w1_a_f3_3_4           'f3_3_4 - Pcode of non-resident remittance recipient:4'                           
 w1_a_f3_4_4           'f3_4_4 - Location of  remittance recipient:4'                                    
 w1_a_f3_5_4           'f3_5_4 - Relationship code of remittance recipient: 4'                           
 w1_a_f3_6_4           'f3_6_4 - No. of times remittance in money was sent in past 12 months:4'          
 w1_a_f3_7_4           'f3_7_4 - Total amount of remittance in money sent in past 12 months:4'           
 w1_a_f3_8_4           'f3_8_4 - Total amount of remittance in money sent in past 30 days:4'             
 w1_a_f3_9_4           'f3_9_4 - No. of times remittance in kind was sent in past 12 months:4'           
 w1_a_f3_10_4          'f3_10_4 - Total amount of remittance in kind sent in past 12 months:4'           
 w1_a_f3_11_4          'f3_11_4 - Total amount of remittance in kind sent in past 30 days:4'             
 w1_a_f3_12_4          'f3_12_4 - Type of in kind Items sent '                                           
 w1_a_f3_12o_4         'f3_12o_4 - Other items given : 4'                                                
 w1_a_f3_3_5           'f3_3_5 - Pcode of non-resident remittance recipient:5'                           
 w1_a_f3_4_5           'f3_4_5 - Location of  remittance recipient:5'                                    
 w1_a_f3_5_5           'f3_5_5 - Relationship code of remittance recipient: 5'                           
 w1_a_f3_6_5           'f3_6_5 - No. of times remittance in money was sent in past 12 months:5'          
 w1_a_f3_7_5           'f3_7_5 - Total amount of remittance in money sent in past 12 months:5'           
 w1_a_f3_8_5           'f3_8_5 - Total amount of remittance in money sent in past 30 days:5'             
 w1_a_f3_9_5           'f3_9_5 - No. of times remittance in kind was sent in past 12 months:5'           
 w1_a_f3_10_5          'f3_10_5 - Total amount of remittance in kind sent in past 12 months:5'           
 w1_a_f3_11_5          'f3_11_5 - Total amount of remittance in kind sent in past 30 days:5'             
 w1_a_f3_12_5          'f3_12_5 - Type of in kind Items sent '                                           
 w1_a_f3_12o_5         'f3_12o_5 - Other items given : 5'                                                
 w1_a_f3_3_6           'f3_3_6 - Pcode of non-resident remittance recipient:6'                           
 w1_a_f3_4_6           'f3_4_6 - Location of  remittance recipient:6'                                    
 w1_a_f3_5_6           'f3_5_6 - Relationship code of remittance recipient: 6'                           
 w1_a_f3_6_6           'f3_6_6 - No. of times remittance in money was sent in past 12 months:6'          
 w1_a_f3_7_6           'f3_7_6 - Total amount of remittance in money sent in past 12 months:6'           
 w1_a_f3_8_6           'f3_8_6 - Total amount of remittance in money sent in past 30 days:6'             
 w1_a_f3_9_6           'f3_9_6 - No. of times remittance in kind was sent in past 12 months:6'           
 w1_a_f3_10_6          'f3_10_6 - Total amount of remittance in kind sent in past 12 months:6'           
 w1_a_f3_11_6          'f3_11_6 - Total amount of remittance in kind sent in past 30 days:6'             
 w1_a_f3_12_6          'f3_12_6 - Type of in kind Items sent '                                           
 w1_a_f3_12o_6         'f3_12o_6 - Other items given : 6'                                                
 w1_a_f3_3_7           'f3_3_7 - Pcode of non-resident remittance recipient:7'                           
 w1_a_f3_4_7           'f3_4_7 - Location of  remittance recipient:7'                                    
 w1_a_f3_5_7           'f3_5_7 - Relationship code of remittance recipient: 7'                           
 w1_a_f3_6_7           'f3_6_7 - No. of times remittance in money was sent in past 12 months:7'          
 w1_a_f3_7_7           'f3_7_7 - Total amount of remittance in money sent in past 12 months:7'           
 w1_a_f3_8_7           'f3_8_7 - Total amount of remittance in money sent in past 30 days:7'             
 w1_a_f3_9_7           'f3_9_7 - No. of times remittance in kind was sent in past 12 months:7'           
 w1_a_f3_10_7          'f3_10_7 - Total amount of remittance in kind sent in past 12 months:7'           
 w1_a_f3_11_7          'f3_11_7 - Total amount of remittance in kind sent in past 30 days:7'             
 w1_a_f3_12_7          'f3_12_7 - Type of in kind Items sent '                                           
 w1_a_f3_12o_7         'f3_12o_7 - Other items given : 7'                                                
 w1_a_f3_3_8           'f3_3_8 - Pcode of non-resident remittance recipient:8'                           
 w1_a_f3_4_8           'f3_4_8 - Location of  remittance recipient:8'                                    
 w1_a_f3_5_8           'f3_5_8 - Relationship code of remittance recipient: 8'                           
 w1_a_f3_6_8           'f3_6_8 - No. of times remittance in money was sent in past 12 months:8'          
 w1_a_f3_7_8           'f3_7_8 - Total amount of remittance in money sent in past 12 months:8'           
 w1_a_f3_8_8           'f3_8_8 - Total amount of remittance in money sent in past 30 days:8'             
 w1_a_f3_9_8           'f3_9_8 - No. of times remittance in kind was sent in past 12 months:8'           
 w1_a_f3_10_8          'f3_10_8 - Total amount of remittance in kind sent in past 12 months:8'           
 w1_a_f3_11_8          'f3_11_8 - Total amount of remittance in kind sent in past 30 days:8'             
 w1_a_f3_12_8          'f3_12_8 - Type of in kind Items sent '                                           
 w1_a_f3_12o_8         'f3_12o_8 - Other items given : 8'                                                
 w1_a_g1               'g1 - Ownership of a Radio'                                                       
 w1_a_g1a              'g1a - Current resale value of Radio'                                             
 w1_a_g2               'g2 - Ownership of Hi-Fi Stereo, CD Player, MP3 Player'                           
 w1_a_g2a              'g2a - Current resale value of Hi-Fi Stereo, CD Player, MP3 Player'               
 w1_a_g3               'g3 - Ownership of Sewing/Knitting machine'                                       
 w1_a_g3a              'g3a - Current resale value of Sewing/Knitting machine'                           
 w1_a_g4               'g4 - Ownership of a Motor Vehicle (Private) in running condition'                
 w1_a_g4a              'g4a - Current resale value of Motor Vehicle (Private) in running condition'      
 w1_a_g5               'g5 - Ownership of a Motor Vehicle (Commercial) in running condition'             
 w1_a_g5a              'g5a - Current resale value of Motor Vehicle (Commercial) in running condition'   
 w1_a_g6               'g6 - Ownership of a Motorcycle/ Scooter'                                         
 w1_a_g6a              'g6a - Current resale value of Motorcycle/ Scooter'                               
 w1_a_g7               'g7 - Ownership of a Bicycle'                                                     
 w1_a_g7a              'g7a - Current resale value of Bicycle'                                           
 w1_a_g8               'g8 - Ownership of a Computer'                                                    
 w1_a_g8a              'g8a - Current resale value of Computer'                                          
 w1_a_g9               'g9 - Ownership of a Camera'                                                      
 w1_a_g9a              'g9a - Current resale value of Camera'                                            
 w1_a_g10              'g10 - Ownership of Cellphone'                                                    
 w1_a_g10a             'g10a - Current resale value of Cellphone'                                        
 w1_a_g11              'g11 - Has a Home loan/ Bond'                                                     
 w1_a_g11a             'g11a - Value of payment last month'                                              
 w1_a_g11b             'g11b - Remaining outstanding balance'                                            
 w1_a_g12              'g12 - Has a Personal loan from a bank'                                           
 w1_a_g12a             'g12a - Value of payment last month'                                              
 w1_a_g12b             'g12b - Remaining outstanding balance'                                            
